City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
3,Rikitea,PF,78.3,clear sky,-23.1203,-134.9692,Pension Maro'i
9,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
10,Axim,GH,82.76,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
17,Champerico,GT,82.4,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
21,Puerto Ayora,EC,77.0,light rain,-0.7393,-90.3518,Castillo Galapagos
25,Montevideo,UY,86.0,few clouds,-34.8335,-56.1674,KOLPING Hotel
26,Grand-Santi,GF,82.02,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
27,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
29,Cape Town,ZA,75.99,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
31,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
33,Maceio,BR,86.0,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
38,Kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
41,Kitgum,UG,83.95,broken clouds,3.2783,32.8867,Jaflo Gardens Hotel
48,Bengkulu,ID,77.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,Miandrivazo,MG,87.62,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
54,Kaduqli,SD,76.96,broken clouds,11.0167,29.7167,فندق الله جابو
57,Jejuri,IN,75.13,few clouds,18.2833,74.1667,Hotel Malhargad
58,Sao Joao Da Barra,BR,86.0,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
60,Pochutla,MX,80.01,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
62,Arraial Do Cabo,BR,87.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
64,Lasem,ID,78.62,light rain,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
65,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
67,Butaritari,KI,78.8,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
70,Inirida,CO,78.57,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
74,Weligama,LK,76.42,few clouds,5.9667,80.4167,Weligama Bay Resort
79,Vung Tau,VN,76.17,clear sky,10.345999999999998,107.0843,Seaside Resort
83,Maldonado,UY,87.8,scattered clouds,-34.6667,-54.9167,La Cimarrona
87,Niquelandia,BR,86.47,overcast clouds,-14.4739,-48.4597,Hotel Suinã
91,Sibolga,ID,77.49,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
92,Bambous Virieux,MU,82.4,scattered clouds,-20.3428,57.7575,Casa Tia Villa
94,Yulara,AU,77.0,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
97,Rodrigues Alves,BR,82.4,light rain,-7.7379999999999995,-72.6509,Pousada Aconchego
100,Nouadhibou,MR,84.2,overcast clouds,20.930999999999997,-17.0347,El Medina
105,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
106,Mount Isa,AU,80.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
111,Mar Del Plata,AR,87.8,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
119,Souillac,MU,82.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Santa Cruz Cabralia,BR,80.6,few clouds,-16.2781,-39.0247,Portobali Hotel
127,Acapulco,MX,77.0,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
129,Hithadhoo,MV,83.01,broken clouds,-0.6,73.0833,Scoop Guest House
130,Namatanai,PG,79.7,overcast clouds,-3.6667,152.4333,Namatanai Hotel
132,Mahebourg,MU,82.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Karratha,AU,86.83,few clouds,-20.7377,116.8463,ibis Styles Karratha
134,Xai-Xai,MZ,81.95,overcast clouds,-25.0519,33.6442,Complexo da Familia
141,Manoel Urbano,BR,77.79,light rain,-8.8389,-69.2597,Baixada Beira Rio
145,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
147,Viedma,AR,89.73,clear sky,-40.8135,-62.9967,Hotel Cristal
149,Maputo,MZ,84.0,broken clouds,-25.9653,32.5892,Pestana Rovuma
150,Alofi,NU,75.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
157,Vila Velha,BR,84.99,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
162,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
163,Boyolangu,ID,77.27,overcast clouds,-8.1181,111.8935,Yos ega cv
167,Vao,NC,76.53,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
170,Mecca,SA,77.38,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
174,Sinnamary,GF,79.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
180,Auki,SB,75.51,broken clouds,-8.7676,160.7034,Auki Motel
184,Nhulunbuy,AU,77.0,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
186,Kulhudhuffushi,MV,82.45,scattered clouds,6.6221,73.07,Haajy Guest House 1
187,Atar,MR,86.0,clear sky,20.5169,-13.0499,Oumou Elghoura
189,Kavaratti,IN,81.72,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
190,Manokwari,ID,78.6,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
193,Chuy,UY,83.08,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
194,Saint-Philippe,RE,82.4,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
197,Huarmey,PE,76.62,scattered clouds,-10.0681,-78.1522,Hotel Miramar
199,Tiarei,PF,77.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
210,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
216,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
223,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
227,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
231,Saldanha,ZA,75.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
234,Sarandi,BR,78.8,clear sky,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
235,Funtua,NG,83.3,scattered clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
236,Buchanan,LR,89.6,haze,5.8808,-10.0467,Kamaneahn Hotel Inc
240,Sao Domingos,BR,87.26,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
252,Ampanihy,MG,80.71,moderate rain,-24.7,44.75,Angora Hotel
254,Carnarvon,AU,75.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
255,Barra Do Garcas,BR,87.8,few clouds,-15.89,-52.2567,Hotel Pousada Tropical
263,Lorengau,PG,80.56,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Antofagasta,CL,75.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
266,El Limon,VE,81.19,overcast clouds,10.3059,-67.6321,Campamento Valle Beraca
267,Alice Springs,AU,87.8,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
272,Bilma,NE,75.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
277,Salinopolis,BR,85.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
279,Banda Aceh,ID,77.74,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
283,Ratnagiri,IN,76.64,scattered clouds,16.9833,73.3,Hotel Landmark
284,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
287,San Andres,CO,80.98,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
290,Ipora,BR,84.51,moderate rain,-16.4419,-51.1178,Oásis Motel
296,Hobyo,SO,77.18,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
297,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
