City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2021-01-22 01:30:53,65.6145,-37.6368,12.2,73,20,2.3
1,New Norfolk,AU,2021-01-22 01:30:55,-42.7826,147.0587,75.0,44,97,4.0
2,Puerto Escondido,MX,2021-01-22 01:38:56,15.85,-97.0667,78.8,73,20,3.42
3,Bredasdorp,ZA,2021-01-22 01:31:06,-34.5322,20.0403,68.0,88,21,3.44
4,Northam,GB,2021-01-22 01:32:01,51.0333,-4.2167,42.01,86,93,5.01
5,Zaragoza,ES,2021-01-22 01:38:24,41.6561,-0.8773,55.4,67,75,3.44
6,Vaini,TO,2021-01-22 01:31:09,-21.2,-175.2,86.0,79,75,14.97
7,Saint George,US,2021-01-22 01:30:29,37.1041,-113.5841,57.2,38,1,4.61
8,Vaitape,PF,2021-01-22 01:38:57,-16.5167,-151.75,81.57,72,2,17.72
9,Nola,IT,2021-01-22 01:38:57,40.922,14.5329,57.0,80,73,6.31
10,Severo-Kurilsk,RU,2021-01-22 01:30:55,50.6789,156.125,21.49,90,60,3.91
11,Hermanus,ZA,2021-01-22 01:30:53,-34.4187,19.2345,69.01,77,0,9.62
12,Busselton,AU,2021-01-22 01:31:02,-33.65,115.3333,81.0,51,0,3.0
13,Clyde River,CA,2021-01-22 01:32:06,70.4692,-68.5914,-2.2,84,1,2.3
14,Lerwick,GB,2021-01-22 01:31:40,60.1545,-1.1494,41.0,81,75,20.71
15,Pitimbu,BR,2021-01-22 01:36:11,-7.4706,-34.8086,77.0,88,20,5.75
16,Albany,US,2021-01-22 01:30:03,42.6001,-73.9662,33.01,57,23,5.48
17,Korla,CN,2021-01-22 01:31:35,41.7597,86.1469,19.74,85,100,0.54
18,Bubaque,GW,2021-01-22 01:38:58,11.2833,-15.8333,77.72,67,100,9.71
19,Porto Novo,BJ,2021-01-22 01:38:58,6.4965,2.6036,80.6,89,20,5.75
